"filename", "language", "HTML", "JSON", "Markdown", "JavaScript", "SCSS", "YAML", "CSS", "XML", "Log", "comment", "blank", "total"
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\components\header\index.js", "JavaScript", 0, 0, 0, 116, 0, 0, 0, 0, 0, 49, 12, 177
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\components\header\index.scss", "SCSS", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 44
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\index.js", "JavaScript", 0, 0, 0, 174, 0, 0, 0, 0, 0, 1, 9, 184
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\index.scss", "SCSS", 0, 0, 0, 0, 136, 0, 0, 0, 0, 1, 8, 145
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\advertisement\content.js", "JavaScript", 0, 0, 0, 498, 0, 0, 0, 0, 0, 1, 16, 515
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\advertisement\index.js", "JavaScript", 0, 0, 0, 410, 0, 0, 0, 0, 0, 18, 39, 467
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\advertisement\index.scss", "SCSS", 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 7, 156
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\annualPlanningMeeting\index.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 4, 63
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\annualPlanningMeeting\index.scss", "SCSS", 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 1, 43
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\applyLoan\index.js", "JavaScript", 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 16, 211
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\applyLoan\index.scss", "SCSS", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 50
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\authenticationmanagement\index.js", "JavaScript", 0, 0, 0, 230, 0, 0, 0, 0, 0, 6, 23, 259
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\authenticationmanagement\index.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\checkBalanceSheet\index.js", "JavaScript", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 10, 114
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\checkBalanceSheet\index.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\checkCash\index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
